country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","15-02-2026 11:00:00",26.181742,91.78063,NO2,3,3,3
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","15-02-2026 11:00:00",26.446912,91.439057,PM10,89,127,106
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-02-2026 11:00:00",24.82827,92.79525,PM2.5,32,89,60
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-02-2026 11:00:00",24.82827,92.79525,SO2,3,6,5
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-02-2026 11:00:00",26.987634,94.636574,NH3,6,18,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","15-02-2026 11:00:00",26.146529,87.454184,PM2.5,35,140,79
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","15-02-2026 11:00:00",26.146529,87.454184,PM10,30,105,69
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","15-02-2026 11:00:00",26.146529,87.454184,NO2,1,11,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","15-02-2026 11:00:00",26.146529,87.454184,NH3,4,5,4
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-02-2026 11:00:00",25.5626095,84.663264,PM2.5,12,127,52
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-02-2026 11:00:00",25.892357,86.590325,PM10,66,178,100
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","15-02-2026 11:00:00",25.859655,85.77944,NO2,8,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","15-02-2026 11:00:00",24.952822,84.002396,SO2,5,5,5
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","15-02-2026 11:00:00",24.952822,84.002396,CO,48,54,51
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","15-02-2026 11:00:00",26.2271665,84.3570427,NO2,2,2,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","15-02-2026 11:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","15-02-2026 11:00:00",26.2271665,84.3570427,OZONE,11,12,12
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","15-02-2026 11:00:00",30.735567,76.775714,SO2,7,15,10
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","15-02-2026 11:00:00",30.751462,76.762879,PM2.5,78,152,101
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-02-2026 11:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-02-2026 11:00:00",25.5626095,84.663264,SO2,9,11,10
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","15-02-2026 11:00:00",25.42742023,86.13886079,NH3,10,11,11
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","15-02-2026 11:00:00",26.80365,84.51954,NO2,7,10,8
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","15-02-2026 11:00:00",26.80365,84.51954,SO2,7,40,16
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.251013,86.989001,PM2.5,32,92,56
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.251013,86.989001,PM10,50,101,64
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.251013,86.989001,CO,10,26,17
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.265194,87.012947,PM10,33,129,68
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-02-2026 11:00:00",25.619651,85.147382,PM2.5,60,93,76
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-02-2026 11:00:00",25.619651,85.147382,PM10,86,124,107
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-02-2026 11:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-02-2026 11:00:00",25.619651,85.147382,OZONE,4,17,6
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","15-02-2026 11:00:00",25.599486,85.113666,NH3,1,3,2
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-02-2026 11:00:00",25.596727,85.085624,PM2.5,46,91,73
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-02-2026 11:00:00",25.596727,85.085624,PM10,71,160,118
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-02-2026 11:00:00",25.596727,85.085624,SO2,4,5,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-02-2026 11:00:00",25.596727,85.085624,OZONE,11,89,33
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-02-2026 11:00:00",25.03280,85.41948,PM10,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-02-2026 11:00:00",24.762518,84.982348,SO2,6,22,9
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-02-2026 11:00:00",25.697189,85.245900,NO2,62,101,80
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","15-02-2026 11:00:00",26.0881305,87.93840336,NO2,9,13,11
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","15-02-2026 11:00:00",26.0881305,87.93840336,SO2,3,9,6
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-02-2026 11:00:00",27.308328,84.531742,PM2.5,82,312,136
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-02-2026 11:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-02-2026 11:00:00",26.63086,84.90051,SO2,3,3,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","15-02-2026 11:00:00",13.67,79.35,PM2.5,70,264,145
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-02-2026 11:00:00",13.615387,79.409230,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","15-02-2026 11:00:00",16.536107,80.594233,OZONE,3,24,8
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","15-02-2026 11:00:00",16.486692,80.699436,PM10,46,58,54
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","15-02-2026 11:00:00",16.486692,80.699436,OZONE,33,33,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-02-2026 11:00:00",16.509717,80.612222,NO2,8,49,19
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-02-2026 11:00:00",16.509717,80.612222,NH3,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-02-2026 11:00:00",25.376776,86.471523,PM2.5,48,83,61
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-02-2026 11:00:00",25.376776,86.471523,NO2,4,5,5
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.1403345,85.3650192,PM10,61,66,63
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.1403345,85.3650192,NO2,2,4,2
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.1209,85.3647,SO2,4,8,5
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.1209,85.3647,OZONE,7,22,7
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","15-02-2026 11:00:00",25.610369,85.132568,NO2,1,2,1
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","15-02-2026 11:00:00",16.554731,80.649110,CO,11,66,64
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","15-02-2026 11:00:00",17.72,83.3,PM2.5,71,189,124
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-02-2026 11:00:00",27.103358,93.679645,NH3,1,1,1
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","15-02-2026 11:00:00",26.10887,91.589544,PM2.5,28,142,66
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","15-02-2026 11:00:00",26.10887,91.589544,PM10,34,148,85
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","15-02-2026 11:00:00",25.567520,83.966379,PM10,45,101,68
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","15-02-2026 11:00:00",24.7955,84.9994,OZONE,17,19,18
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-02-2026 11:00:00",24.792403,84.992416,NH3,1,2,1
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-02-2026 11:00:00",24.762518,84.982348,PM10,52,75,61
